video_id,title,description,published_at,views,likes,playlist_id
IYnvxc_Kp9Q,GraalVM in action: Building a Polyglot Rule Engine for Dynamic Business Logic,"By Rick Ossendrijver and Enric Sala

In today's fast-paced tech world, backend systems need to be flexible and self-service to support evolving business needs. For Picnic, this means building a backend that lets operators and analysts directly define and manage the logic driving customer interactions, product personalization and internal workflows. 

Our solution is a Rule Engine platform where operators can easily attach logic and effects to events by creating, testing and managing their own rules. Powered by GraalVM's polyglot capabilities, it allows analysts and other stakeholders to write rules in JavaScript or Python. This event-driven system enables self-service without developer involvement. It handles actions across the Picnic system landscape, from updating customer data to triggering communications.

In this talk, we will discuss the architecture behind our Rule Engine and share some of the challenges we faced with GraalVM’s polyglot capabilities. We will explain how we made Java-based event data accessible in guest languages. In addition, we will show how we provided extra context from our systems to the rules, and designed a simple DSL for data retrieval and action triggering. Finally, we’ll cover how we ensure fairness and maintain performance. 

Come and learn how you can leverage the potential of GraalVM!",2025-04-07T13:45:21Z,957,18,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
7T9fmvY5MzU,Bootiful Spring Boot in 2025 by Josh Long,"Spring Boot 3.4 and Java 24 have arrived, making it an exciting time to be a Java developer!

Join me, Josh Long (@starbuxman), as we dive into the future of Spring Boot with Java in 2025.
Discover how to scale your applications and codebases effortlessly.

We'll look at:
how to build more modular (from a software design perspective)
scalable (from a team and runtime efficiency perspective)
and efficient codebase using the latest and greatest in the Spring ecosystem.",2025-04-07T13:45:19Z,5520,123,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
dYpbsoZDZoc,YOLO - moving straight to production by Adam Michalik,"Guns blazing, bullets flying - a cowboy attitude is a sure-fire way to blow up your production. In the classic approach we use multiple test environments and separate QA engineers to keep the cowboys at bay. This however requires a complex setup of test data with high coupling between systems and teams, causes constant handovers and a long feedback cycle. The result is often a misguided feeling of confidence when going live.

Alternatively, you can choose the path of a ninja - one that better fits modern software development which relies on autonomous teams, devops skill set and decoupled microservice architecture. At Rabobank hundreds of squads apply various tools and techniques to successfully go straight to production multiple times a day. Based on this experience, I’ll demonstrate ways in which you can shorten your testing chain, reduce the delivery time, enhance the reliability of your system, and go live with confidence while still developing a high-quality product.",2025-04-07T13:45:23Z,502,7,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
pXN1nWL8lkQ,GreenOps and Green Coding - are you optimising the right things? by Oliver Cronk,"In our race to build sustainable technology, we often focus on the wrong metrics or make assumptions about what drives our carbon footprint. This session explores the practical application of the Technology Carbon Standard (TCS) to application development and DevOps, helping developers and architects make informed decisions about sustainable coding practices.

The talk will start with an overview of the impact tech has on the planet.
Break down the 3 main areas of concern (Upstream, Operational and Downstream) and help identify which are significant in your case.
Then explore what practical choices you can make to reduce the impact of each of these areas.",2025-04-07T13:45:25Z,288,5,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
qGecMwOt4kE,Streamtoxication: How a Fluent API turns into a Tangled Mess by Victor Rentea,"Should we use streams everywhere? Certainly, using streams is often clearer and more concise than iterating a collection. But sometimes stream code requires a complex combination of collectors, folding, monads, and nested flatMap operations, which makes the verdict debatable. In this session, we will pick several use cases, workout the best solutions in both imperative and functional styles, and then argue which is better. Of course, you'll get to vote!
If you're a Java developer, you shouldn't miss this session! You'll have fun, replenish your energy, and leave with a better idea of where streams excel, and where you should stay with old-fashioned imperative style.",2025-04-07T13:45:25Z,2039,57,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
zyLP8hFsKo8,Cracking the Code Review by Paco van Beckhoven,"Code reviews are vital for ensuring good code quality and fostering teamwork. They serve as one of our last lines of defense against bugs and subpar code reaching production. Yet, they often turn into annoying tasks riddled with frustration, hostility, unclear feedback and lack of standard practices. How can this crucial process be improved?

Key topics include:
1. Creating review-friendly pull requests: Demonstrating how to prepare a pull request
2. Effective code reviews: Showcasing how to approach reviews, provide constructive feedback, and enhance collaboration through positivity.
3. Using automated tools for quality assurance: Demonstrating tools for code consistency and quality checks - eliminating needless discussions and focusing on core changes.

This session will leave attendees with practical tactics for improving pull requests, performing better code reviews, and a suite of tools to simplify the review process and boost code quality.",2025-04-07T13:45:28Z,5701,51,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
4PUj_XOHhrA,Building AI Agents with Model Context Protocol: From Specification to Implementation,"By Christian Tzolov

The Model Context Protocol (MCP) introduces a powerful approach for AI agent development by standardizing how AI models interact with external tools and resources.
This talk explores MCP's architecture, diving deep into its core capabilities: tool discovery and execution, resource management with URI templates, and dynamic prompt handling.
We'll examine how Spring AI MCP - Java MCP SDK, implementation transforms these specifications into practical agent capabilities, demonstrating how to evolve traditional AI applications into full-fledged agents that can interact with external systems, manage resources, and handle complex workflows through standardized interfaces.
Through live coding examples, we will learn how to combine the Spring AI framework with MCP to create agents that can effectively understand context, make decisions, and take actions across various external systems.",2025-04-07T13:45:19Z,557,10,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
4a7hdNCQgTo,From Zero to AI: Building Smart Java or Kotlin Applications with Spring AI by Christian Tzolov,"Start integrating powerful AI capabilities into your Java and Kotlin applications today.
Spring AI helps you solve the core challenge of connecting your enterprise Data and APIs with AI models, opening the path to building practical multi-agent automations.

In this session, led by the project lead, we will demonstrate practical use cases through live coding demos.
You'll learn to implement key Generative AI patterns including Conversation Memory, Tool/Function calling, and Modular RAG (Retrieval Augmented Generation).

We'll explore approaches for building multi-agent systems and leveraging observability through metrics, tracing, and logging to understanding how your systems perform.

The session will also cover techniques for managing AI hallucinations using relevancy and fact-checking evaluators.

By the end of this session, you'll have everything you need to start integrating generative AI into your existing Java and Kotlin applications using Spring AI.",2025-04-07T13:45:19Z,2033,68,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
6lEVtTJrfkI,Mayday Mark 2! More Software Lessons From Aviation Disasters by Adele Carpenter,"What can aviation teach us about software? More specifically, what can aviation disasters teach us? 

A lot actually.

In the first edition of this talk, I focused on the human factor of aviation disasters. An important element of both software engineering and aviation. But that is just the tip of the iceberg.

In this talk, I will go deeper into the technical oddities of some of the most famous aviation disasters. Buckle up for more case studies, more geeky stuff, and yeah, also some more human stuff.

We will cover
- Most common causes of aviation disasters and how that has changed over time
- Redundancy in systems
- Deadly UX
- Project failures and (wrong) incentives

Despite the subject matter, this talk is not doom and gloom. It is a practical look at the methods and insights that almost 100 years of investigating commercial aviation disasters can teach us as software engineers.",2025-04-07T13:45:19Z,220,2,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
8Js-EPuekHA,"LLMs can't optimize schedules, but AI can! by Tom Cools","GenAI and LLMs are awesome and are perceived by some as the solution for everything. However, when it comes to common tasks like creating schedules they tend to produce unreliable or nonsensical results.

Fortunately, there’s a lesser known branch of AI that excels at complex scheduling: mathematical optimization. We'll discuss why LLMs fail at these tasks, how constraint solving provides a robust alternative and how you can leverage the Open Source Timefold Solver so you don't even have to worry about the math.

You'll see this form of AI in action and walk away with a powerful new tool for your problem-solving toolbox.",2025-04-07T13:45:19Z,434,4,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
CcKPqwRe1_w,wAIred! Learn without AI by Simone de Gijt,"In today's world, artificial intelligence (AI) is transforming the way we learn. This talk will explore how we can use AI tools to enhance our learning experiences. We will try out some AI tools that can help with planning, practicing, researching etc.

But as we embrace these new technologies, we must also ask ourselves: Are we becoming less capable of thinking for ourselves? Do these tools make us smarter, or do they risk dulling our critical thinking skills? This talk will encourage us to think critically about the role of AI in our education. Together, we will discover how to use AI to support our learning journey while still developing our ability to think critically.",2025-04-07T13:45:19Z,177,3,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
D-yvEts1HFQ,"From 0 to H AI ro: Unlock the power of generative AI with Kotlin, LangChain4j and Spring AI","By Urs Peter

The JVM, remains one of the most widely used platforms in enterprises today. But is it fit to leverage the enormous potential (generative) AI offers, with Python being the dominating language in this space?

Join me for an insightful talk where we explore the leading JVM frameworks for AI: Spring AI and LangChain4j. These powerful tools enable millions of Kotlin, Java, Scala, and Groovy developers to tap into the transformative capabilities of generative AI.

Discover how Spring AI and LangChain4j:
- Effortlessly interact with LLMs across text, audio, images, and video.
- Leverage semantic search using embeddings and vector databases.
- Utilize retrieval-augmented generation (RAG) solutions and AI agents to amplify your LLM's potential with your own data and APIs.
- Differ from each other and where their strengths and weaknesses lie.

While building a real-world working generative AI application on the fly, all the mind-boggling concepts will be explained clearly and concisely, ensuring you learn both the way the frameworks work as well as the underlying AI concepts without prior knowledge.

By the end of this session, you will be ready to conquer the world of generative AI: You will not only understand the concepts behind today’s AI buzzwords but also learn how Spring AI and LangChain4j allow you to unleash the power of this promising technology.

Armed with this knowledge, you’ll be prepared to embrace the future as a H-AI-ro!",2025-04-07T13:45:19Z,440,14,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
H0MSkemXGG4,I wish my manager was a game designer by Sara Larsson,"Mandy was playing Zelda, and she felt super motivated to do all random stuff the game asked her to do. She tried to do it as efficiently as possible, even made a plan on how to approach it. It made her think, if only work was like this....

It is so fun to play video games, you feel incentivized to continue playing, engaged to keep exploring, and rewarded when you complete a quest. Sometimes we will even go out of our way to gather some tedious collectables to make sure we finish the game to 100%. But in comparison, why can work be so boring? Why is it so difficult ourselves to do similar tedious tasks in a work setting when we (gladly) do them in a game?

Sadly we can’t choose our managers, but what would our day look like if it was arranged by a game designer? Sara and Mandy will explore what game techniques help motivate us, and what actually makes game so fun. Based on that we will see what is possible to match to the ‘real world’. How can we improve our workflow and happiness, and what game elements can be combined with other methods?

By the end of the presentation our goal is that you will have an idea of what makes games so engaging, and what steps you can do to make your work more effective and fun. If you are a manager maybe you can become the game designer we wish we had, and improve the life of your team!",2025-04-07T13:45:19Z,221,2,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
HdUMblHOpk4,Fantastic languages and what to learn from them by Jan Ouwens,"PHP sucks! C# is just a Java rip-off! Kotlin is better than Java! English is just weird!

Wrong.

Every language is cool and unique in its own way and will influence the way you see and use your own favourite language. Put aside your preconceptions, and let me show you what I have learned from working with Java, Ruby, Elm, and yes: even PHP. But what I learned from C# will surprise you!",2025-04-07T13:45:21Z,263,4,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
I1xb9BVtWUQ,"Java 24: A story about code, conflicts and conquer by Lutske de Leeuw","What happens when a Java developer faces tough challenges and needs to level up their skills to succeed? In this session, follow Emma, a back-end developer, as she battles coding conflicts and discovers how Java 24’s latest features can help her conquer them and improve her workflow.

This session tells the story of Emma’s journey through common development struggles, showing how Java 24 features become the tools she uses to solve her problems. Compact Object Headers (JEP 450) reduce memory usage by optimizing object representation, Ahead-of-Time Class Loading (JEP 483) speeds up application startup by pre-loading classes, and Virtual Thread Synchronization (JEP 491) enhances the performance and scalability of concurrent applications. Along the way, Emma learns how these features help her build faster, more efficient, and maintainable applications, all while navigating workplace challenges and striving for personal growth.

Rather than a dry rundown of features, this session offers an engaging and relatable narrative that shows how mastering the latest features can transform not just your code, but your approach to development. Emma’s growth as a developer mirrors how you too can conquer the challenges in your own back-end development journey with Java 24.

Join me for a session filled with drama, humor, and hands-on Java 24 know-how. You’ll laugh, you’ll learn, and maybe, just maybe, you’ll fall in love with Java all over again.",2025-04-07T13:45:21Z,335,5,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
J2ZFY9X7kZs,15 Years of Redis: Introducing Redis 8 by Raphael De Lio,"You probably know Redis as a fast cache, but it's much more than that.
It's a complete database with persistence, atomic operations, and now, with Redis 8, it's getting even better.

The latest version brings major upgrades: a powerful query engine, native vector search for AI, JSON support for flexible data storage, streams for real-time event processing, and probabilistic data structures for large-scale analytics.

Redis 8 isn't just about speed—it's about smarter data handling, better scalability, and new possibilities.
In this talk, we'll explore how Redis 8 goes beyond caching and what it means for developers today.",2025-04-07T13:45:21Z,577,24,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
Qo-g2SK5MGo,Observability for developers by Melvin Visch,"Software development has grown increasingly complex, but good things happen when developers and data are closer together. See how, through enhanced experiences and live debugging, developers are empowered with the insights they need to avoid production issues in real-time while building and modifying code more effectively in cloud-native, microservices-based software development.

We’ll explore how observability capabilities tailored to developers help teams explore their data, and leverage innovations to deliver code faster and more securely.",2025-04-07T13:45:21Z,408,6,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
ULr4kKa1Fx4,One chart to rule them all: Simple environment config with Spring Boot and Helm by Sander Verbruggen,"So you know your way around Spring Boot and how to configure your application. And the next step is to deploy it to Kubernetes. Not everyone knows how to do this, so you ask Google and it tells you to use Helm, a deployment tool for Kubernetes. Google says go deep-diving into Helm-charts: write deployments, config-maps, mounts etc. Someone in your team might be experienced in Helm, but only talks """"Helm-charts"""" and you only talk """"Spring Boot"""" and you will find out that those two languages/concepts don't really match. How will you talk to each other and work together?

In this talk I will speed through the Helm setup Google tells you to follow and show you why I think it is not suited for a dedicated Spring Boot developer.
I'll demonstrate the method we came up with to have your Spring Boot configuration (e.g. application*.yaml) copy/pasted into your Helm configuration and using that to deploy it to Kubernetes.

Topics covered:
Spring Boot configuration overview including Spring Profiles
The 'classic' way Google tells you to deploy your Spring Boot app to Kubernetes and why this doesn't work
Our setup that joins both worlds: finding the middle ground between Spring Boot configuration and Kubernetes' Helm charts
All in code/demo form, no slides",2025-04-07T13:45:21Z,456,9,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
Vv4rN7jhId0,"Dockerfiles, Buildpacks, Jib and more ... what's the best way to run your Java code in Containers?","By Matthias Haeussler

A typical workflow in a modern software dev project often looks like: Build code, put the built artifact into a container image, put the container image into a registry and deploy to Kubernetes. Each step has its own requirements and pitfalls alike. The overall goal is most often to bake those steps into easily repeatable pipelines and enable a high degree of automation and standardization.

Dockerfiles seems to be the choice with the highest adoption when it comes to containerizing code artefacts. However most Dockerfiles (and also most sample's of Dockerfiles you find in tutorials) do not exploit it to the full potential.
There are a lot of improvements to be done in how to build and optimize for VM-based applications.

The talk will give deeper insights by comparing (simple and multi-stage) Dockerfiles to Cloud-Native Buildpacks (buildpacks.io/paketo.io), Google’s JIB and jlink under the evaluation criteria of
build time
build size
standardization
robustness
memory configuration
security

The examples and live demo will have certain focus on Java-based frameworks (Spring Boot, Quarkus, Micronaut), but coverage of other languages will also be included and highlighted.",2025-04-07T13:45:21Z,652,17,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
ZN_g_Vdzob4,"Hexagonal Architecture in Practice, Live Coding That Will Make Your Applications More Sustainable","By Julien Topçu

There always comes a point where software becomes so complex and old that it becomes unmaintainable. Updating the technical stack without breaking everything becomes impossible, implementing new features takes longer, and the technical debt is so overwhelming that refactoring becomes exorbitant.

What if we told you that all of this is more of a practice problem than a software aging problem?

Come and discover through hands-on experience in this 100% live coding session how Hexagonal Architecture can tackle software complexity, making it possible for you to be adaptable and sustainable while helping you manage your technical debt more effectively.",2025-04-07T13:45:23Z,1622,48,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
bRwVxIn8MKU,Java's Concurrency Journey Continues! Exploring Structured Concurrency and Scoped Values,"By Hanno Embregts

Java's concurrency journey has been a long and winding one. We departed from the 'classic threads' station and traveled through Runnables, ExecutorServices, CompletableFutures and ForkJoinPools, before finally arriving at 'virtual threads'. But does 'finally' mean that we've arrived at our final destination, or is it a transfer at best?

Now that virtual threads are available, our Java programs will likely use an abundance of threads. This increase in thread count will immediately make thread coordination, observability and isolation more difficult. Two new Java features are currently in development that might make things a bit easier: Structured Concurrency and Scoped Values.

In this talk, we'll introduce and demonstrate these new features, and how they can help address the challenges that have emerged since the introduction of virtual threads. We'll also discuss how the availability of these features will impact your day-to-day programming life and whether Java's concurrency journey is actually over now that these features have become available or if there are still more stops to come.",2025-04-07T13:45:23Z,1183,35,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
fbTPLPKAuhA,Quantum 2 0 is here and it's ready to change the world! by Petra Wevers,"Quantum 2.0 is here, and it's ready to change the world!

This disruptive technology delivers exciting new innovations in areas far out of reach of our current computers.
Cool stuff is on its way, like for challenges in pattern recognition, optimalisation, modeling natural processes, and precision measurements.

However, as always with new technology, this has a flip side: almost all of our current cryptography is broken in devastating ways!
The cryptography we've relied on for so many years, like RSA and ECC, no longer protects our data.
Knowing that data being harvested today can be decrypted makes the need for action even more urgent.

So, what can we do?

Whilst there are no ready-to-go-trails, we have excellent guidance in the PQC-Migrationhandbook by the AIVD.
Dealing with this huge cybersecurity problem boils down to implementing cryptographic agility and quantum safe cryptography.
But what does this actually mean?
And how does this translate to the work of developers and technical architects?

In this talk I'll be sharing the most valuable insights and lessons we've gathered so far.",2025-04-07T13:45:23Z,317,4,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
jCLtfvO_h_E,Securing the Future of AI: Authorization Strategies for RAG Systems with LangChain4J and OpenFGA,"By Deepu Sasidharan

As Retrieval-Augmented Generation (RAG) systems become more prevalent in modern AI applications, ensuring robust authorization frameworks is critical to maintain data privacy, security, and compliance. This talk explores the unique challenges and best practices in designing secure authorization mechanisms tailored for RAG systems. We will dive into real-world scenarios where sensitive data is at risk and examine how Role-Based Access Control (RBAC) and Relationship-Based Access Control (ReBAC) using OpenFGA can be implemented in RAG architectures with LangChain4J.

Attendees will learn how to secure the interaction between the retrieval components and generative models while maintaining the system’s efficiency and accuracy. Whether you're an AI architect, security professional, or developer, this session will provide actionable insights to safeguard the future of AI-driven applications.",2025-04-07T13:45:23Z,315,2,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
jXokM4r-4xU,Are We Ready For The Next Cyber Security Crisis Like Log4Shell? by Soroosh Khodami,"In a world where vulnerabilities like Log4J, Spring4Shell, and the XZ Backdoor make headlines, securing our software ecosystem has never been more critical. In this session, Soroosh, a hands-on solution architect with experience working on security platform services for large enterprises like Rabobank, will share practical strategies and best practices for securing the software development process, applicable to both small startups and large organizations.

Key questions that will be answered in this session:
Can basic SQL Injection threats extend beyond accessing a database server within a restricted network?
What is a """"Supply Chain Attack,"""" and how dangerous can it be?
What are the most effective low-hanging practices to secure your CI/CD process?
Shift-Left Security & DevSecOps? What’s the hype, and how is it going to redefine the way we build software?
How can Software Bill of Materials (SBOM) help us prepare for the next Log4Shell crisis?
What do EU supply chain security-related regulations (DORA/CRA) mean for developers?",2025-04-07T13:45:23Z,446,20,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
ji_KwSrvWpI,From Data to Insights: Implementing Generative AI at scale by Thomas Natschläger,"Discover how to successfully integrate Generative AI into a platform, where an AI driven solution serves the largest global enterprises, handling petabyte-scale data collection and monitoring mission-critical applications.

This talk will explore the goals of the Dynatrace platform, its hypermodel AI Davis, the integration process of Generative AI, and the challenges and triumphs encountered on the path to General Availability (GA) release.

Join us to learn about implementing Generative AI at scale and see how we """"drink our own champagne""""!",2025-04-07T13:45:25Z,217,0,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
lsOkZpb7i2M,Speed Up Your Maven Build x10… Before You Move to Gradle by Sergei Chernov,"Gradle has a lot of performance advantages in comparison to Maven.
However there can be different blockers to migrate from Maven to Gradle (like release management or CI/CD pipelines), also in a large organization it'll require to teach a lot of engineers the new tooling and there can be pitfalls.
The good news is that Maven has a lot of potential to speed up the builds.

In this session we'll talk about possible ways to optimize it, starting with trivial things like choosing proper JDK, upgrading to Kotlin 2.0 K2, stop building and deploying redundant artifacts. Also we'll talk about Apache Build Cache and Develocity extensions, extracting code generation to jar dependency and how it will boost the experience in the IDE.
Then we'll dig deeper to how the Maven Reactor works under the hood and how it builds multi-module projects, what's the main problem of scalability/parallelization there.
In this section it will be explained why modularization is a key factor, how to find build bottlenecks and how to modularize the build.

Eventually you may make a decision to switch to Gradle if all these optimizations are not enough. But in any case these advices are complementary and will have positive effect for Gradle projects as well.",2025-04-07T13:45:25Z,1428,38,PLRsbF2sD7JVpZ3O01elefwrp9l4yBWoXu
